# HumanityOS Crafting Recipes
# Defines all craftable items, their ingredients, requirements, and outputs
#
# Column definitions:
#   id                  - Unique recipe identifier
#   name                - Display name
#   category            - Recipe category: smelting, refining, crafting, cooking, construction, electronics, assembly, textile, chemistry
#   inputs              - Required inputs (item_id:quantity pairs, pipe-separated)
#   outputs             - Outputs (item_id:quantity pairs, pipe-separated)
#   craft_time_sec      - Time in seconds to complete crafting
#   station_required    - Required crafting station (empty = hand-craftable)
#   skill_required      - Required skill name (empty = no skill needed)
#   skill_level         - Minimum skill level required (0 = none)
#   description         - Short description of what this recipe produces
#
# === SMELTING (ores to ingots) ===
id,name,category,inputs,outputs,craft_time_sec,station_required,skill_required,skill_level,description
smelt_iron,Smelt Iron,smelting,iron_ore_0:2|coal_0:1,iron_ingot_0:1,10,smelter_0,smithing,1,Reduce iron ore into a pure iron ingot
smelt_copper,Smelt Copper,smelting,copper_ore_0:2|coal_0:1,copper_ingot_0:1,10,smelter_0,smithing,1,Reduce copper ore into a pure copper ingot
smelt_steel,Smelt Steel,smelting,iron_ingot_0:2|coal_0:2,steel_ingot_0:1,15,smelter_0,smithing,2,Alloy iron with carbon to form steel
smelt_aluminum,Smelt Aluminum,smelting,iron_ore_0:3|coal_0:2,aluminum_ingot_0:1,20,smelter_0,smithing,3,Electrolytic reduction of alumina ore
smelt_titanium,Smelt Titanium,smelting,iron_ore_0:4|coal_0:3,titanium_ingot_0:1,30,smelter_0,smithing,5,High-temperature titanium extraction
smelt_gold,Smelt Gold,smelting,iron_ore_0:5,gold_ingot_0:1,25,smelter_0,smithing,4,Refine gold from raw ore
smelt_silver,Smelt Silver,smelting,iron_ore_0:4,silver_ingot_0:1,20,smelter_0,smithing,3,Refine silver from raw ore
smelt_glass,Smelt Glass,smelting,sand_0:3|coal_0:1,glass_pane_0:2,12,smelter_0,smithing,2,Melt silica sand into clear glass
fire_brick,Fire Brick,smelting,clay_raw_0:4|coal_0:1,stone_brick_0:4,15,kiln_0,smithing,1,Fire clay into durable bricks
fire_porcelain,Fire Porcelain,smelting,clay_raw_0:2|sand_0:1|coal_0:1,glass_pane_0:1,20,kiln_0,smithing,3,Fire fine porcelain ceramic
#
# === REFINING (raw to processed) ===
saw_planks,Saw Planks,refining,wood_log_0:1,wood_plank_0:4,5,sawmill_0,,0,Cut a log into flat lumber boards
saw_planks_hand,Saw Planks by Hand,refining,wood_log_0:1,wood_plank_0:2,15,,crafting,1,Hand-saw a log into planks
cut_stone,Cut Stone,refining,stone_raw_0:1,stone_brick_0:2,10,workbench_0,crafting,1,Shape raw stone into building blocks
refine_fuel,Refine Fuel,refining,oil_crude_0:2,fuel_refined_0:3,30,fuel_refinery_0,engineering,3,Distill crude oil into usable fuel
grind_flour,Grind Flour,refining,rice_0:2,flour_0:2,8,grain_mill_0,,0,Mill grain into baking flour
purify_water,Purify Water,refining,water_bottle_0:2,water_purified_0:2,5,water_purifier_0,,0,Filter and sterilize drinking water
make_charcoal,Make Charcoal,refining,wood_log_0:3,coal_0:4,20,kiln_0,,0,Carbonize wood into charcoal
extract_fiber,Extract Fiber,refining,wood_log_0:1,fiber_bundle_0:3,8,,crafting,1,Strip plant matter into raw fibers
make_rope,Make Rope,refining,fiber_bundle_0:3,rope_0:1,10,,crafting,1,Braid plant fibers into strong rope
make_wire,Draw Wire,refining,copper_ingot_0:1,wire_0:5,8,workbench_0,smithing,2,Draw copper into insulated wire
vulcanize_rubber,Vulcanize Rubber,refining,rubber_sheet_0:2|coal_0:1,rubber_sheet_0:3,15,forge_0,smithing,2,Heat-treat rubber for durability
